 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  27. 1.2022    Time:  16:13:57
 Units: L = cm   , T = days , M = mmol 
 
 CosAlf,MaxIt,TolTh,  TolH
 1.000   10   0.001 1.00000
 
 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
     T     F     T     F     F     F     T     F     T     F     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)

   1      0.000      0.070    1    1   0.000    1.000    1.000    1.000
   2    -10.000      0.070    1    1   0.000    1.000    1.000    1.000
   3    -20.000      0.070    1    1   0.000    1.000    1.000    1.000
   4    -30.000      0.070    1    1   0.000    1.000    1.000    1.000
   5    -40.000      0.070    1    1   0.000    1.000    1.000    1.000
   6    -50.000      0.070    1    1   0.000    1.000    1.000    1.000
   7    -60.000      0.070    1    1   0.000    1.000    1.000    1.000
   8    -70.000      0.070    1    1   0.000    1.000    1.000    1.000
   9    -80.000      0.070    1    1   0.000    1.000    1.000    1.000
  10    -90.000      0.070    1    1   0.000    1.000    1.000    1.000
  11   -100.000      0.070    1    1   0.000    1.000    1.000    1.000
end

 Number of species in the chain :   0


MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1    0.036  0.430   0.139E+00   0.275E+01   0.730E+03  0.450

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S          Kv
 
  0.4300  -0.100E-05 -0.6000E+01  0.0000E+00  0.7300E+03  0.2863E+01    1.0000  0.0000E+00
  0.4300  -0.126E-05 -0.5899E+01  0.0000E+00  0.7300E+03  0.2863E+01    1.0000  0.0000E+00
  0.4300  -0.159E-05 -0.5798E+01  0.0000E+00  0.7300E+03  0.2863E+01    1.0000  0.0000E+00
  0.4300  -0.201E-05 -0.5697E+01  0.0000E+00  0.7300E+03  0.2863E+01    1.0000  0.0000E+00
  0.4300  -0.254E-05 -0.5596E+01  0.0000E+00  0.7300E+03  0.2863E+01    1.0000  0.0000E+00
  0.4300  -0.320E-05 -0.5495E+01  0.0000E+00  0.7300E+03  0.2863E+01    1.0000  0.0000E+00
  0.4300  -0.404E-05 -0.5394E+01  0.0000E+00  0.7300E+03  0.2863E+01    1.0000  0.0000E+00
  0.4300  -0.509E-05 -0.5293E+01  0.0000E+00  0.7300E+03  0.2863E+01    1.0000  0.0000E+00
  0.4300  -0.643E-05 -0.5192E+01  0.0000E+00  0.7300E+03  0.2863E+01    1.0000  0.0000E+00
  0.4300  -0.811E-05 -0.5091E+01  0.0000E+00  0.7300E+03  0.2863E+01    1.0000  0.0000E+00
  0.4300  -0.102E-04 -0.4990E+01  0.0000E+00  0.7300E+03  0.2863E+01    1.0000  0.0000E+00
  0.4300  -0.129E-04 -0.4889E+01  0.0000E+00  0.7300E+03  0.2863E+01    1.0000  0.0000E+00
  0.4300  -0.163E-04 -0.4788E+01  0.0000E+00  0.7300E+03  0.2863E+01    1.0000  0.0000E+00
